strategy,experiment_id,total_return,max_drawdown,trade_count,win_rate,avg_hold_days,risk_reject_count,final_equity,run_path
ma_5_20,sha256:df4827259,-0.0170638,0.047853693276374405,8,0.6666666666666666,15.333333333333334,5,98293.62,runs/comparison/ma_5_20
ma_3_10,sha256:03a8c2472,-0.0062972,0.023282320426587552,15,0.2857142857142857,30.285714285714285,10,99370.28,runs/comparison/ma_3_10
breakout_20,sha256:8090193ec,-0.0131003,0.03293604526391115,4,0.5,84.5,6,98689.97,runs/comparison/breakout_20
breakout_10,sha256:c3318110e,-0.0293023,0.03483288794978565,10,0.2,21.8,6,97069.77,runs/comparison/breakout_10
